NAME                SYNC STATUS   HEALTH STATUS
argocd              Synced        Healthy
backlog             Synced        Healthy
backlog-canary      Synced        Healthy
budget              Synced        Healthy
budget-canary       Synced        Healthy
cert-manager        Synced        Healthy
cloudflared         Synced        Healthy
connect             Synced        Healthy
dex                 Synced        Healthy
doplarr             Synced        Healthy
emby                Synced        Healthy
explorers-hub       Synced        Healthy
external-dns        Synced        Healthy
external-secrets    Synced        Healthy
gitea               Synced        Healthy
global-secrets      Synced        Healthy
gpu-operator        Synced        Healthy
grafana             Synced        Healthy
humbleai            Synced        Healthy
humbleai-canary     Synced        Healthy
ingress-nginx       Synced        Healthy
kanidm              Synced        Healthy
kured               Synced        Healthy
loki                Synced        Healthy
monitoring-system   Synced        Healthy
n8n                 Synced        Healthy
nextcloud           Synced        Healthy
ollama              Synced        Healthy
openclaw            Synced        Healthy
openwebui           Synced        Healthy
postgres            Synced        Healthy
qdrant              Synced        Healthy
radarr              Synced        Healthy
renovate            Synced        Healthy
rook-ceph           Synced        Healthy
sabnzbd             Synced        Healthy
searxng             Synced        Healthy
sonarr              Synced        Healthy
volsync-system      Synced        Healthy
woodpecker          Synced        Healthy
zot                 Synced        Healthy
