NAMESPACE         NAME                            READY   SECRET                          AGE
argocd            argocd-server-tls               True    argocd-server-tls               53d
backlog-canary    backlog-companion-canary-tls    True    backlog-companion-canary-tls    26d
backlog           backlog-companion-tls           True    backlog-companion-tls           26d
budget-canary     budget-canary-tls               True    budget-canary-tls               32d
budget            budget-tls                      True    budget-tls                      32d
dex               dex-tls-certificate             True    dex-tls-certificate             53d
emby              emby-tls-certificate            True    emby-tls-certificate            53d
explorers-hub     explorers-hub-tls-certificate   True    explorers-hub-tls-certificate   43d
gitea             gitea-tls-certificate           True    gitea-tls-certificate           53d
grafana           grafana-general-tls             True    grafana-general-tls             53d
humbleai-canary   humbleai-tls                    True    humbleai-tls                    53d
humbleai          humbleai-tls                    True    humbleai-tls                    53d
kanidm            kanidm-selfsigned               True    kanidm-selfsigned-certificate   53d
kanidm            kanidm-tls-certificate          True    kanidm-tls-certificate          53d
localai           localai-eaglepass-io-tls        True    localai-eaglepass-io-tls        53d
n8n               n8n-tls-certificate             True    n8n-tls-certificate             30d
nextcloud         nextcloud-tls-certificate       True    nextcloud-tls-certificate       41d
ollama            ollama-tls                      True    ollama-tls                      4d22h
openclaw          openclaw-tls-certificate        True    openclaw-tls-certificate        14h
openwebui         open-tls-certificate            True    open-tls-certificate            53d
radarr            radarr-tls-certificate          True    radarr-tls-certificate          53d
sabnzbd           sabnzbd-tls-certificate         True    sabnzbd-tls-certificate         53d
searxng           searxng-tls-certificate         True    searxng-tls-certificate         53d
sonarr            sonarr-tls-certificate          True    sonarr-tls-certificate          53d
woodpecker        woodpecker-tls-certificate      True    woodpecker-tls-certificate      53d
zot               zot-tls-certificate             True    zot-tls-certificate             53d
