NAMESPACE           NAME                                                              READY   STATUS      RESTARTS       AGE
argocd              argocd-application-controller-0                                   1/1     Running     0              32h
argocd              argocd-applicationset-controller-6596b95bcf-fc74w                 1/1     Running     0              32h
argocd              argocd-dex-server-b4d796b55-v97fg                                 1/1     Running     0              32h
argocd              argocd-notifications-controller-785f4c477d-xvjdg                  1/1     Running     0              32h
argocd              argocd-redis-55bbfb8dbd-4s4lc                                     1/1     Running     0              32h
argocd              argocd-repo-server-7d5954ffb6-n8dd7                               1/1     Running     0              32h
argocd              argocd-server-5d9d689778-pl9wl                                    1/1     Running     0              32h
backlog             backlog-844f77c6f6-tlxs8                                          3/3     Running     0              32h
backlog-canary      backlog-canary-5f97974969-p5wvl                                   3/3     Running     3 (24h ago)    24h
budget              budget-76cf7cb8b6-db5zz                                           2/2     Running     0              25h
budget-canary       budget-canary-75bcc4cf4-zqktx                                     2/2     Running     3 (24h ago)    24h
cert-manager        cert-manager-75d978dc6b-dv2jx                                     1/1     Running     0              25h
cert-manager        cert-manager-cainjector-85dc58857-bvg8g                           1/1     Running     0              32h
cert-manager        cert-manager-webhook-67bd77644b-fljdr                             1/1     Running     2 (24h ago)    24h
cloudflared         cloudflared-5dc6b7849f-84wmf                                      1/1     Running     0              32h
code                weaviate-0                                                        1/1     Running     0              25h
connect             onepassword-connect-5fcbd4c68b-dnfqb                              2/2     Running     0              32h
connect             onepassword-connect-operator-88bfccfd9-p6mf2                      1/1     Running     0              32h
default             external-secrets-764b89d78f-4fhjt                                 1/1     Running     0              24h
default             external-secrets-webhook-bcf58f89b-z5cw2                          1/1     Running     0              24h
default             rook-ceph-operator-84f6b7f9fb-2s4vc                               1/1     Running     0              25h
dex                 dex-756c687ddc-2gb86                                              1/1     Running     0              32h
doplarr             doplarr-8647b5dcf9-zggz9                                          1/1     Running     0              15h
emby                emby-87b7d9cc5-hf2pb                                              1/1     Running     0              24h
explorers-hub       explorers-hub-65d9f459bb-fc8fz                                    1/1     Running     0              32h
explorers-hub       explorers-hub-6c76f6d4d6-vrzbn                                    1/1     Running     0              32h
external-dns        external-dns-6f48c4f67b-jlcnh                                     1/1     Running     0              25h
external-secrets    external-secrets-cert-controller-7bd8c5b99c-r8hm5                 1/1     Running     0              32h
external-secrets    external-secrets-fb66b59cd-zkkpf                                  1/1     Running     0              25h
external-secrets    external-secrets-webhook-976ddf7d7-s77vq                          1/1     Running     0              32h
gitea               gitea-95955d874-wczns                                             1/1     Running     0              32h
gitea               gitea-postgresql-0                                                1/1     Running     0              24h
gitea               gitea-valkey-cluster-0                                            1/1     Running     0              32h
gitea               gitea-valkey-cluster-1                                            1/1     Running     0              32h
gitea               gitea-valkey-cluster-2                                            1/1     Running     0              32h
gitea               gitea-valkey-cluster-3                                            1/1     Running     0              25h
