NAME                                                       READY   STATUS      RESTARTS       AGE     IP           NODE         NOMINATED NODE   READINESS GATES
ceph-csi-controller-manager-5dc6b7cf95-f9wxn               1/1     Running     1 (34h ago)    34h     10.0.5.65    charmander   <none>           <none>
rook-ceph-conversion-webhook-5b888b9f5d-c6prp              1/1     Running     0              34h     10.0.6.207   squirtle     <none>           <none>
rook-ceph-crashcollector-arcanine-5d9d65b756-jxxr7         1/1     Running     0              26h     10.0.4.231   arcanine     <none>           <none>
rook-ceph-crashcollector-bulbasaur-5479587f64-2rw84        1/1     Running     0              34h     10.0.7.18    bulbasaur    <none>           <none>
rook-ceph-crashcollector-charmander-6f8fdff966-l7vmc       1/1     Running     0              34h     10.0.5.238   charmander   <none>           <none>
rook-ceph-crashcollector-chikorita-659f47b6f7-zdjws        1/1     Running     0              26h     10.0.0.85    chikorita    <none>           <none>
rook-ceph-crashcollector-cyndaquil-5dbddfb65c-wswgv        1/1     Running     1 (25h ago)    26h     10.0.3.31    cyndaquil    <none>           <none>
rook-ceph-crashcollector-growlithe-7576697d66-khtw8        1/1     Running     0              34h     10.0.1.60    growlithe    <none>           <none>
rook-ceph-crashcollector-sprigatito-846c5596b7-rqtcn       1/1     Running     0              26h     10.0.9.3     sprigatito   <none>           <none>
rook-ceph-crashcollector-totodile-6bfdd9dc5c-knd27         1/1     Running     0              28h     10.0.2.144   totodile     <none>           <none>
rook-ceph-exporter-arcanine-5c744855c5-6pcw2               1/1     Running     0              26h     10.0.4.212   arcanine     <none>           <none>
rook-ceph-exporter-bulbasaur-78bd56d849-8zlf8              1/1     Running     0              34h     10.0.7.192   bulbasaur    <none>           <none>
rook-ceph-exporter-charmander-78d478b4d5-55r96             1/1     Running     0              34h     10.0.5.51    charmander   <none>           <none>
rook-ceph-exporter-chikorita-6479bb6484-wn62p              1/1     Running     0              26h     10.0.0.233   chikorita    <none>           <none>
rook-ceph-exporter-cyndaquil-6597d4d54d-x8pqk              1/1     Running     1 (25h ago)    26h     10.0.3.238   cyndaquil    <none>           <none>
