NAME                                                              READY   STATUS    RESTARTS       AGE   IP           NODE         NOMINATED NODE   READINESS GATES
cilium-97b27                                                      1/1     Running   10 (37h ago)   44d   10.0.20.19   arcanine     <none>           <none>
cilium-bktjp                                                      1/1     Running   7 (37h ago)    44d   10.0.20.20   sprigatito   <none>           <none>
cilium-c44ng                                                      1/1     Running   25 (37h ago)   44d   10.0.20.14   pikachu      <none>           <none>
cilium-h7cmt                                                      1/1     Running   14 (36h ago)   44d   10.0.20.17   totodile     <none>           <none>
cilium-j64nq                                                      1/1     Running   15 (37h ago)   44d   10.0.20.12   squirtle     <none>           <none>
cilium-nwzq6                                                      1/1     Running   15 (37h ago)   38d   10.0.20.16   cyndaquil    <none>           <none>
cilium-operator-6999764665-hqxxn                                  1/1     Running   0              36h   10.0.20.16   cyndaquil    <none>           <none>
cilium-r8snc                                                      1/1     Running   13 (37h ago)   44d   10.0.20.13   bulbasaur    <none>           <none>
cilium-rgw2v                                                      1/1     Running   15 (37h ago)   44d   10.0.20.11   charmander   <none>           <none>
cilium-v5gp5                                                      1/1     Running   7 (37h ago)    15d   10.0.20.18   growlithe    <none>           <none>
cilium-xwhxf                                                      1/1     Running   13 (37h ago)   44d   10.0.20.15   chikorita    <none>           <none>
coredns-6d8646cdb8-5fp7q                                          1/1     Running   0              37h   10.0.0.200   chikorita    <none>           <none>
hubble-relay-69f5fc5b79-drblg                                     1/1     Running   0              37h   10.0.1.56    growlithe    <none>           <none>
hubble-ui-6548d56557-gmvgg                                        2/2     Running   0              37h   10.0.6.122   squirtle     <none>           <none>
kube-vip-bulbasaur                                                1/1     Running   72             59d   10.0.20.13   bulbasaur    <none>           <none>
kube-vip-charmander                                               1/1     Running   78 (37h ago)   59d   10.0.20.11   charmander   <none>           <none>
kube-vip-squirtle                                                 1/1     Running   74 (37h ago)   59d   10.0.20.12   squirtle     <none>           <none>
metrics-server-564cb4ff68-rcpwh                                   1/1     Running   0              37h   10.0.1.5     growlithe    <none>           <none>
nfs-client-provisioner-nfs-subdir-external-provisioner-854f98ph   1/1     Running   3 (37h ago)    37h   10.0.0.209   chikorita    <none>           <none>
