NAMESPACE         NAME                                        STATE   AGE
argocd            argocd-server-tls-1-1806234669              valid   55d
backlog-canary    backlog-companion-canary-tls-1-2782044485   valid   38d
backlog           backlog-companion-tls-1-3209965606          valid   8d
budget-canary     budget-canary-tls-1-3397355507              valid   44d
dex               dex-tls-certificate-1-1338884972            valid   55d
emby              emby-tls-certificate-1-2214504741           valid   55d
gitea             gitea-tls-certificate-1-1056306335          valid   28d
grafana           grafana-general-tls-1-3286529767            valid   55d
humbleai-canary   humbleai-tls-1-3085603603                   valid   12d
humbleai          humbleai-tls-1-448166436                    valid   14d
kanidm            kanidm-tls-certificate-1-3684994957         valid   55d
localai           localai-eaglepass-io-tls-1-1636471448       valid   40d
n8n               n8n-tls-certificate-1-1102790071            valid   43d
nextcloud         nextcloud-tls-certificate-1-2289380897      valid   33d
ollama            ollama-tls-1-1173234589                     valid   17d
openwebui         open-tls-certificate-2-2903582807           valid   47h
radarr            radarr-tls-certificate-1-727431449          valid   55d
sabnzbd           sabnzbd-tls-certificate-1-2727667487        valid   55d
searxng           searxng-tls-certificate-1-3577027753        valid   41d
sonarr            sonarr-tls-certificate-1-2020712202         valid   55d
woodpecker        woodpecker-tls-certificate-1-3162624335     valid   55d
zot               zot-tls-certificate-1-577498914             valid   55d
