NAME                                                       READY   STATUS      RESTARTS       AGE   IP           NODE         NOMINATED NODE   READINESS GATES
ceph-csi-controller-manager-5dc6b7cf95-rsggz               1/1     Running     0              36h   10.0.3.32    cyndaquil    <none>           <none>
rook-ceph-conversion-webhook-5b888b9f5d-9lgdw              1/1     Running     0              36h   10.0.3.125   cyndaquil    <none>           <none>
rook-ceph-crashcollector-arcanine-5d9d65b756-phmmt         1/1     Running     0              37h   10.0.4.60    arcanine     <none>           <none>
rook-ceph-crashcollector-bulbasaur-5479587f64-bbnd6        1/1     Running     0              37h   10.0.7.101   bulbasaur    <none>           <none>
rook-ceph-crashcollector-charmander-6f8fdff966-nbxwh       1/1     Running     0              37h   10.0.5.205   charmander   <none>           <none>
rook-ceph-crashcollector-chikorita-659f47b6f7-rwbb7        1/1     Running     0              37h   10.0.0.106   chikorita    <none>           <none>
rook-ceph-crashcollector-cyndaquil-5dbddfb65c-z57cp        1/1     Running     0              37h   10.0.3.148   cyndaquil    <none>           <none>
rook-ceph-crashcollector-growlithe-8fccd9bd4-jgks2         1/1     Running     0              37h   10.0.1.80    growlithe    <none>           <none>
rook-ceph-crashcollector-pikachu-657648f964-8trjf          1/1     Running     0              37h   10.0.8.142   pikachu      <none>           <none>
rook-ceph-crashcollector-sprigatito-846c5596b7-sn2fj       1/1     Running     0              37h   10.0.9.69    sprigatito   <none>           <none>
rook-ceph-exporter-arcanine-5c744855c5-c8dgg               1/1     Running     0              37h   10.0.4.128   arcanine     <none>           <none>
rook-ceph-exporter-bulbasaur-78bd56d849-fvqlx              1/1     Running     0              37h   10.0.7.226   bulbasaur    <none>           <none>
rook-ceph-exporter-charmander-78d478b4d5-8l79f             1/1     Running     0              37h   10.0.5.250   charmander   <none>           <none>
rook-ceph-exporter-chikorita-6479bb6484-krk4t              1/1     Running     0              37h   10.0.0.176   chikorita    <none>           <none>
rook-ceph-exporter-cyndaquil-6597d4d54d-54czg              1/1     Running     0              37h   10.0.3.104   cyndaquil    <none>           <none>
rook-ceph-exporter-growlithe-7ffff74c85-stjb5              1/1     Running     0              37h   10.0.1.224   growlithe    <none>           <none>
rook-ceph-exporter-pikachu-677764f4f7-lmtkt                1/1     Running     0              37h   10.0.8.169   pikachu      <none>           <none>
rook-ceph-exporter-sprigatito-bb57879c6-d8bk6              1/1     Running     0              37h   10.0.9.218   sprigatito   <none>           <none>
rook-ceph-mds-standard-rwx-a-6bd6586df-jb7qm               1/1     Running     0              37h   10.0.5.15    charmander   <none>           <none>
rook-ceph-mds-standard-rwx-b-779b85d79c-42d6r              1/1     Running     0              37h   10.0.1.76    growlithe    <none>           <none>
rook-ceph-mgr-a-58d8898ccb-fcpr5                           2/2     Running     0              36h   10.0.3.29    cyndaquil    <none>           <none>
rook-ceph-mgr-b-66cb475bb6-tst8x                           2/2     Running     0              37h   10.0.8.38    pikachu      <none>           <none>
rook-ceph-mon-f-5cc966c797-pt5nm                           1/1     Running     0              37h   10.0.7.205   bulbasaur    <none>           <none>
rook-ceph-mon-h-5ccccdb9bc-qzqws                           1/1     Running     0              37h   10.0.5.31    charmander   <none>           <none>
rook-ceph-mon-j-746c974688-mvll9                           1/1     Running     0              37h   10.0.3.223   cyndaquil    <none>           <none>
rook-ceph-operator-fd5bd8dff-6hz2f                         1/1     Running     0              37h   10.0.6.147   squirtle     <none>           <none>
rook-ceph-osd-0-759886b475-nbnm9                           1/1     Running     0              37h   10.0.0.16    chikorita    <none>           <none>
rook-ceph-osd-1-6d8c5776bc-q59hc                           1/1     Running     0              37h   10.0.3.113   cyndaquil    <none>           <none>
rook-ceph-osd-2-65c544f9b9-jdvtb                           1/1     Running     0              37h   10.0.4.49    arcanine     <none>           <none>
rook-ceph-osd-4-68899c7d97-g65fm                           1/1     Running     0              37h   10.0.7.53    bulbasaur    <none>           <none>
rook-ceph-osd-6-84797665c5-6xcdw                           1/1     Running     0              37h   10.0.1.252   growlithe    <none>           <none>
rook-ceph-osd-7-7f4d84c6d6-hqqxj                           1/1     Running     0              37h   10.0.9.201   sprigatito   <none>           <none>
rook-ceph-osd-8-5b654b7fd6-xsclg                           1/1     Running     0              37h   10.0.4.228   arcanine     <none>           <none>
rook-ceph-osd-prepare-arcanine-94x4h                       0/1     Completed   0              37h   10.0.4.15    arcanine     <none>           <none>
rook-ceph-osd-prepare-bulbasaur-ppblv                      0/1     Completed   0              37h   <none>       bulbasaur    <none>           <none>
rook-ceph-osd-prepare-growlithe-d9r99                      0/1     Completed   0              37h   10.0.1.174   growlithe    <none>           <none>
rook-ceph-osd-prepare-pikachu-28p2z                        0/1     Completed   0              37h   10.0.8.13    pikachu      <none>           <none>
rook-ceph-osd-prepare-squirtle-wx5fp                       0/1     Completed   0              37h   10.0.6.217   squirtle     <none>           <none>
rook-ceph-snapshot-controller-7dd476c4f9-nzlsh             1/1     Running     2 (16h ago)    37h   10.0.7.253   bulbasaur    <none>           <none>
rook-ceph-tools-658fd4db6f-7hxsx                           1/1     Running     0              37h   10.0.5.188   charmander   <none>           <none>
rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-28wls   5/5     Running     0              37h   10.0.8.124   pikachu      <none>           <none>
rook-ceph.cephfs.csi.ceph.com-ctrlplugin-c4dc99579-gfhpn   5/5     Running     0              37h   10.0.6.214   squirtle     <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-76n4p             2/2     Running     61 (37h ago)   19d   10.0.20.14   pikachu      <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-8ksjd             2/2     Running     42 (37h ago)   19d   10.0.20.11   charmander   <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-fkbgp             2/2     Running     52 (37h ago)   19d   10.0.20.16   cyndaquil    <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-g7lg6             2/2     Running     24 (37h ago)   15d   10.0.20.18   growlithe    <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-jd8ls             2/2     Running     36 (37h ago)   19d   10.0.20.13   bulbasaur    <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-kbgmg             2/2     Running     65 (36h ago)   19d   10.0.20.17   totodile     <none>           <none>
rook-ceph.cephfs.csi.ceph.com-nodeplugin-qd5mh             2/2     Running     31 (37h ago)   19d   10.0.20.15   chikorita    <none>           <none>
