default     11m         Warning   InvalidDiskCapacity       node/growlithe                      invalid capacity 0 on image filesystem
default     11m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     11m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     11m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     11m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     10m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     10m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     10m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     10m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     10m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     10m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     10m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     10m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     10m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     10m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     10m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     10m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     10m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     10m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     10m         Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     10m         Normal    Starting                  node/growlithe                      Starting kubelet.
default     9m57s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     9m57s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     9m50s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     9m50s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     9m43s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     9m43s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     9m36s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     9m36s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     9m29s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     9m29s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     9m22s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     9m22s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     9m15s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     9m15s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     9m8s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     9m8s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     9m1s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     9m          Normal    Starting                  node/growlithe                      Starting kubelet.
default     8m54s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     8m47s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     8m46s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     8m40s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     8m39s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     8m33s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     8m32s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     8m25s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     8m25s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     8m19s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     8m18s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     8m12s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     8m11s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     8m4s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     8m4s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     7m57s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     7m57s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     7m51s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     7m50s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     7m44s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     7m43s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     7m36s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     7m36s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     7m29s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     7m29s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     7m22s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     7m21s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     7m15s       Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     7m15s       Normal    Starting                  node/growlithe                      Starting kubelet.
default     7m8s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
default     7m7s        Normal    Starting                  node/growlithe                      Starting kubelet.
default     7m1s        Normal    CertificateExpirationOK   node/growlithe                      Node and Certificate Authority certificates managed by k3s are OK
