NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
ace-step            ace-step-959bbd477-xhxsb                                          1/1     Running     0                2d15h
argocd              argocd-application-controller-0                                   1/1     Running     0                2d15h
argocd              argocd-applicationset-controller-7656969b54-nvdl8                 1/1     Running     0                2d15h
argocd              argocd-dex-server-b4d796b55-sqnmz                                 1/1     Running     0                2d15h
argocd              argocd-notifications-controller-8584b4bc59-kngwk                  1/1     Running     0                2d15h
argocd              argocd-redis-7c8c64fc8f-c5597                                     1/1     Running     0                2d15h
argocd              argocd-repo-server-c7b887f8c-tc2kl                                1/1     Running     1 (2d7h ago)     2d15h
argocd              argocd-server-f877cd99f-w9nqd                                     1/1     Running     1 (2d15h ago)    2d15h
backlog             backlog-844f77c6f6-tn7h9                                          3/3     Running     0                2d15h
backlog-canary      backlog-canary-5f97974969-vbxqc                                   3/3     Running     0                2d15h
budget              budget-76cf7cb8b6-rrtv7                                           2/2     Running     0                2d15h
budget-canary       budget-canary-75bcc4cf4-4fzjm                                     2/2     Running     1 (36h ago)      2d15h
cert-manager        cert-manager-5765c467b4-g2jw2                                     1/1     Running     1 (2d7h ago)     2d15h
cert-manager        cert-manager-cainjector-79797479d8-rm8lm                          1/1     Running     4 (2d7h ago)     2d15h
cert-manager        cert-manager-webhook-6dbd67d8d7-bgkz4                             1/1     Running     0                2d15h
cloudflared         cloudflared-dd448d59b-m55v8                                       1/1     Running     0                2d15h
code                weaviate-0                                                        1/1     Running     0                2d15h
connect             onepassword-connect-5fcbd4c68b-zf65h                              2/2     Running     0                2d15h
connect             onepassword-connect-operator-5dd699c7c-6mpdv                      1/1     Running     0                2d15h
default             external-secrets-764b89d78f-zbswn                                 1/1     Running     0                2d15h
default             external-secrets-webhook-bcf58f89b-t9dh7                          1/1     Running     0                2d15h
default             rook-ceph-operator-84f6b7f9fb-tl5g5                               1/1     Running     0                2d15h
dex                 dex-756c687ddc-jtr2d                                              1/1     Running     0                2d14h
doplarr             doplarr-8647b5dcf9-jzmtw                                          1/1     Running     0                2d4h
emby                emby-74d94f8dd7-2qbmj                                             1/1     Running     0                2d15h
explorers-hub       explorers-hub-65d9f459bb-hq4cq                                    1/1     Running     0                2d15h
explorers-hub       explorers-hub-6c76f6d4d6-jwwnc                                    1/1     Running     0                2d15h
external-dns        external-dns-6f48c4f67b-jsqb7                                     1/1     Running     2 (2d9h ago)     2d15h
external-secrets    external-secrets-546bb948cf-m6l6g                                 1/1     Running     0                2d15h
external-secrets    external-secrets-cert-controller-5f5f58848f-xdqpk                 1/1     Running     0                2d15h
external-secrets    external-secrets-webhook-5957f674f-8cf8z                          1/1     Running     0                2d15h
gitea               gitea-95955d874-6pvrz                                             1/1     Running     0                2d14h
gitea               gitea-postgresql-0                                                1/1     Running     0                2d15h
gitea               gitea-valkey-cluster-0                                            1/1     Running     0                2d15h
gitea               gitea-valkey-cluster-1                                            1/1     Running     0                2d15h
gitea               gitea-valkey-cluster-2                                            1/1     Running     0                2d15h
gitea               gitea-valkey-cluster-3                                            1/1     Running     0                2d15h
gitea               gitea-valkey-cluster-4                                            1/1     Running     0                2d15h
gitea               gitea-valkey-cluster-5                                            1/1     Running     0                2d14h
gpu-operator        gpu-feature-discovery-j8hzv                                       1/1     Running     8 (2d15h ago)    9d
gpu-operator        gpu-feature-discovery-l6sds                                       1/1     Running     5 (2d15h ago)    9d
gpu-operator        gpu-operator-999cc8dcc-vgztt                                      1/1     Running     1 (2d7h ago)     2d14h
gpu-operator        gpu-operator-node-feature-discovery-gc-7cc7ccfff8-6cs4n           1/1     Running     0                2d15h
gpu-operator        gpu-operator-node-feature-discovery-master-d8597d549-4ds6m        1/1     Running     0                2d15h
gpu-operator        gpu-operator-node-feature-discovery-worker-4vfxp                  1/1     Running     24 (2d7h ago)    38d
gpu-operator        gpu-operator-node-feature-discovery-worker-89w4g                  1/1     Running     27 (2d7h ago)    49d
gpu-operator        gpu-operator-node-feature-discovery-worker-8qpdn                  1/1     Running     27 (2d7h ago)    49d
gpu-operator        gpu-operator-node-feature-discovery-worker-f6w4q                  1/1     Running     13 (2d7h ago)    13d
gpu-operator        gpu-operator-node-feature-discovery-worker-g8fqb                  1/1     Running     43 (2d7h ago)    49d
gpu-operator        gpu-operator-node-feature-discovery-worker-kzbhr                  1/1     Running     35 (2d7h ago)    48d
gpu-operator        gpu-operator-node-feature-discovery-worker-rj9td                  1/1     Running     32 (2d1h ago)    49d
gpu-operator        gpu-operator-node-feature-discovery-worker-vhv8z                  1/1     Running     32 (2d7h ago)    49d
gpu-operator        gpu-operator-node-feature-discovery-worker-wcnrz                  1/1     Running     30 (2d7h ago)    49d
gpu-operator        gpu-operator-node-feature-discovery-worker-xls78                  1/1     Running     28 (2d7h ago)    49d
gpu-operator        nvidia-container-toolkit-daemonset-22xrp                          1/1     Running     4 (2d15h ago)    9d
gpu-operator        nvidia-container-toolkit-daemonset-8p2t8                          1/1     Running     4 (2d15h ago)    9d
gpu-operator        nvidia-cuda-validator-4f7dr                                       0/1     Completed   0                2d15h
gpu-operator        nvidia-cuda-validator-xv69p                                       0/1     Completed   0                2d15h
gpu-operator        nvidia-dcgm-exporter-2skz9                                        1/1     Running     6 (2d15h ago)    9d
gpu-operator        nvidia-dcgm-exporter-dhsbk                                        1/1     Running     8 (2d15h ago)    9d
gpu-operator        nvidia-device-plugin-daemonset-crwwt                              1/1     Running     8                9d
