NAMESPACE         NAME                            READY   SECRET                          AGE
ace-step          ace-step-tls                    True    ace-step-tls                    16d
argocd            argocd-server-tls               True    argocd-server-tls               76d
backlog-canary    backlog-companion-canary-tls    True    backlog-companion-canary-tls    48d
backlog           backlog-companion-tls           True    backlog-companion-tls           48d
budget-canary     budget-canary-tls               True    budget-canary-tls               54d
budget            budget-tls                      True    budget-tls                      54d
dex               dex-tls-certificate             True    dex-tls-certificate             76d
emby              emby-tls-certificate            True    emby-tls-certificate            76d
explorers-hub     explorers-hub-tls-certificate   True    explorers-hub-tls-certificate   65d
gitea             gitea-tls-certificate           True    gitea-tls-certificate           75d
grafana           grafana-general-tls             True    grafana-general-tls             76d
humbleai-canary   humbleai-tls                    True    humbleai-tls                    75d
humbleai          humbleai-tls                    True    humbleai-tls                    75d
kanidm            kanidm-selfsigned               True    kanidm-selfsigned-certificate   75d
kanidm            kanidm-tls-certificate          True    kanidm-tls-certificate          75d
localai           localai-eaglepass-io-tls        True    localai-eaglepass-io-tls        75d
n8n               n8n-tls-certificate             True    n8n-tls-certificate             53d
nextcloud         nextcloud-tls-certificate       True    nextcloud-tls-certificate       63d
ollama            ollama-tls                      True    ollama-tls                      27d
openwebui         open-tls-certificate            True    open-tls-certificate            75d
radarr            radarr-tls-certificate          True    radarr-tls-certificate          76d
sabnzbd           sabnzbd-tls-certificate         True    sabnzbd-tls-certificate         76d
searxng           searxng-tls-certificate         True    searxng-tls-certificate         75d
sonarr            sonarr-tls-certificate          True    sonarr-tls-certificate          76d
woodpecker        woodpecker-tls-certificate      True    woodpecker-tls-certificate      76d
zot               zot-tls-certificate             True    zot-tls-certificate             76d
