NAMESPACE         NAME                                         STATE   AGE
argocd            argocd-server-tls-2-1806234669               valid   5d23h
backlog-canary    backlog-companion-canary-tls-1-2782044485    valid   48d
backlog           backlog-companion-tls-1-3209965606           valid   18d
budget-canary     budget-canary-tls-1-3397355507               valid   54d
dex               dex-tls-certificate-2-1338884972             valid   5d23h
emby              emby-tls-certificate-2-2214504741            valid   5d23h
explorers-hub     explorers-hub-tls-certificate-1-4181884619   valid   5d21h
gitea             gitea-tls-certificate-1-1056306335           valid   38d
grafana           grafana-general-tls-2-3286529767             valid   5d23h
humbleai-canary   humbleai-tls-1-3085603603                    valid   23d
humbleai          humbleai-tls-1-448166436                     valid   24d
kanidm            kanidm-tls-certificate-2-3684994957          valid   5d23h
localai           localai-eaglepass-io-tls-1-1636471448        valid   51d
n8n               n8n-tls-certificate-1-1102790071             valid   53d
nextcloud         nextcloud-tls-certificate-1-2289380897       valid   44d
ollama            ollama-tls-1-1173234589                      valid   27d
openwebui         open-tls-certificate-2-2903582807            valid   12d
radarr            radarr-tls-certificate-2-727431449           valid   5d23h
sabnzbd           sabnzbd-tls-certificate-2-2727667487         valid   5d23h
searxng           searxng-tls-certificate-1-3577027753         valid   51d
sonarr            sonarr-tls-certificate-2-2020712202          valid   5d23h
woodpecker        woodpecker-tls-certificate-2-3162624335      valid   5d23h
zot               zot-tls-certificate-2-577498914              valid   5d23h
