NAMESPACE           NAME                                                              READY   STATUS      RESTARTS         AGE
ace-step            ace-step-959bbd477-52kbp                                          1/1     Running     0                6h24m
argocd              argocd-application-controller-0                                   1/1     Running     0                6h36m
argocd              argocd-applicationset-controller-7656969b54-l4x6z                 1/1     Running     0                6h48m
argocd              argocd-dex-server-b4d796b55-jf4pg                                 1/1     Running     0                6h36m
argocd              argocd-notifications-controller-8584b4bc59-25nxr                  1/1     Running     0                6h48m
argocd              argocd-redis-7c8c64fc8f-8rcb9                                     1/1     Running     0                6h48m
argocd              argocd-repo-server-c7b887f8c-mg488                                1/1     Running     0                6h48m
argocd              argocd-server-f877cd99f-mwv7j                                     1/1     Running     0                6h48m
backlog             backlog-844f77c6f6-wl4pl                                          3/3     Running     0                6h45m
backlog-canary      backlog-canary-5f97974969-s4sxg                                   3/3     Running     0                6h45m
budget              budget-76cf7cb8b6-6dbpb                                           2/2     Running     0                6h48m
budget-canary       budget-canary-75bcc4cf4-r4hsw                                     2/2     Running     0                6h12m
cert-manager        cert-manager-5765c467b4-vkflv                                     1/1     Running     0                6h36m
cert-manager        cert-manager-cainjector-79797479d8-qszps                          1/1     Running     0                6h7m
cert-manager        cert-manager-webhook-6dbd67d8d7-f8lvk                             1/1     Running     0                6h48m
cloudflared         cloudflared-dd448d59b-944w7                                       1/1     Running     0                6h48m
code                weaviate-0                                                        1/1     Running     0                6h18m
connect             onepassword-connect-5fcbd4c68b-k8dvj                              2/2     Running     0                6h36m
connect             onepassword-connect-operator-5dd699c7c-dd494                      1/1     Running     0                6h12m
default             external-secrets-764b89d78f-c5x2r                                 1/1     Running     0                6h40m
default             external-secrets-webhook-bcf58f89b-lhxc9                          1/1     Running     0                6h40m
default             rook-ceph-operator-84f6b7f9fb-856mc                               1/1     Running     0                6h7m
dex                 dex-756c687ddc-46rwg                                              1/1     Running     0                6h18m
doplarr             doplarr-8647b5dcf9-rhwfc                                          1/1     Running     0                6h40m
emby                emby-74d94f8dd7-4fj2w                                             1/1     Running     0                6h29m
explorers-hub       explorers-hub-65d9f459bb-49g48                                    1/1     Running     0                6h18m
explorers-hub       explorers-hub-6c76f6d4d6-k8kjk                                    1/1     Running     0                6h12m
external-dns        external-dns-6f48c4f67b-p95rh                                     1/1     Running     0                6h36m
external-secrets    external-secrets-546bb948cf-72nc9                                 1/1     Running     0                6h12m
external-secrets    external-secrets-cert-controller-5f5f58848f-jrjdv                 1/1     Running     0                6h48m
external-secrets    external-secrets-webhook-5957f674f-cgth8                          1/1     Running     0                6h12m
gitea               gitea-95955d874-rw6tb                                             1/1     Running     0                6h18m
gitea               gitea-postgresql-0                                                1/1     Running     0                6h44m
gitea               gitea-valkey-cluster-0                                            1/1     Running     0                6h12m
gitea               gitea-valkey-cluster-1                                            1/1     Running     0                6h48m
gitea               gitea-valkey-cluster-2                                            1/1     Running     0                6h7m
gitea               gitea-valkey-cluster-3                                            1/1     Running     0                6h45m
gitea               gitea-valkey-cluster-4                                            1/1     Running     0                6h36m
gitea               gitea-valkey-cluster-5                                            1/1     Running     0                6h18m
gpu-operator        gpu-feature-discovery-j8hzv                                       1/1     Running     9 (6h22m ago)    10d
gpu-operator        gpu-feature-discovery-l6sds                                       1/1     Running     6 (6h28m ago)    10d
gpu-operator        gpu-operator-999cc8dcc-m9jkv                                      1/1     Running     1 (6h43m ago)    6h45m
gpu-operator        gpu-operator-node-feature-discovery-gc-7cc7ccfff8-zjkq6           1/1     Running     0                6h45m
gpu-operator        gpu-operator-node-feature-discovery-master-d8597d549-84xs7        1/1     Running     0                6h18m
gpu-operator        gpu-operator-node-feature-discovery-worker-4vfxp                  1/1     Running     25 (6h52m ago)   38d
gpu-operator        gpu-operator-node-feature-discovery-worker-89w4g                  1/1     Running     28 (6h28m ago)   50d
gpu-operator        gpu-operator-node-feature-discovery-worker-8qpdn                  1/1     Running     28 (6h44m ago)   50d
gpu-operator        gpu-operator-node-feature-discovery-worker-f6w4q                  1/1     Running     14 (6h22m ago)   14d
gpu-operator        gpu-operator-node-feature-discovery-worker-g8fqb                  1/1     Running     44 (6h11m ago)   50d
gpu-operator        gpu-operator-node-feature-discovery-worker-kzbhr                  1/1     Running     37 (6h43m ago)   49d
gpu-operator        gpu-operator-node-feature-discovery-worker-rj9td                  1/1     Running     33 (6h16m ago)   50d
gpu-operator        gpu-operator-node-feature-discovery-worker-vhv8z                  1/1     Running     34 (6h4m ago)    50d
gpu-operator        gpu-operator-node-feature-discovery-worker-wcnrz                  1/1     Running     31 (6h39m ago)   50d
gpu-operator        gpu-operator-node-feature-discovery-worker-xls78                  1/1     Running     30 (6h33m ago)   50d
gpu-operator        nvidia-container-toolkit-daemonset-22xrp                          1/1     Running     5 (6h28m ago)    10d
gpu-operator        nvidia-container-toolkit-daemonset-8p2t8                          1/1     Running     5 (6h22m ago)    10d
gpu-operator        nvidia-cuda-validator-kmk7q                                       0/1     Completed   0                6h22m
gpu-operator        nvidia-cuda-validator-zjrj5                                       0/1     Completed   0                6h27m
gpu-operator        nvidia-dcgm-exporter-2skz9                                        1/1     Running     7 (6h28m ago)    10d
gpu-operator        nvidia-dcgm-exporter-dhsbk                                        1/1     Running     9 (6h22m ago)    10d
gpu-operator        nvidia-device-plugin-daemonset-crwwt                              1/1     Running     10               10d
gpu-operator        nvidia-device-plugin-daemonset-cx4ss                              1/1     Running     10 (6h22m ago)   10d
gpu-operator        nvidia-operator-validator-d7zgg                                   1/1     Running     5 (6h28m ago)    10d
gpu-operator        nvidia-operator-validator-dvncb                                   1/1     Running     5 (6h22m ago)    10d
