NAMESPACE         NAME                            READY   SECRET                          AGE
ace-step          ace-step-tls                    True    ace-step-tls                    17d
argocd            argocd-server-tls               True    argocd-server-tls               76d
backlog-canary    backlog-companion-canary-tls    True    backlog-companion-canary-tls    49d
backlog           backlog-companion-tls           True    backlog-companion-tls           49d
budget-canary     budget-canary-tls               True    budget-canary-tls               55d
budget            budget-tls                      True    budget-tls                      55d
dex               dex-tls-certificate             True    dex-tls-certificate             76d
emby              emby-tls-certificate            True    emby-tls-certificate            76d
explorers-hub     explorers-hub-tls-certificate   True    explorers-hub-tls-certificate   66d
gitea             gitea-tls-certificate           True    gitea-tls-certificate           76d
grafana           grafana-general-tls             True    grafana-general-tls             76d
humbleai-canary   humbleai-tls                    True    humbleai-tls                    76d
humbleai          humbleai-tls                    True    humbleai-tls                    76d
kanidm            kanidm-selfsigned               True    kanidm-selfsigned-certificate   76d
kanidm            kanidm-tls-certificate          True    kanidm-tls-certificate          76d
localai           localai-eaglepass-io-tls        True    localai-eaglepass-io-tls        76d
n8n               n8n-tls-certificate             True    n8n-tls-certificate             53d
nextcloud         nextcloud-tls-certificate       True    nextcloud-tls-certificate       64d
ollama            ollama-tls                      True    ollama-tls                      27d
openwebui         open-tls-certificate            True    open-tls-certificate            76d
radarr            radarr-tls-certificate          True    radarr-tls-certificate          76d
sabnzbd           sabnzbd-tls-certificate         True    sabnzbd-tls-certificate         76d
searxng           searxng-tls-certificate         True    searxng-tls-certificate         76d
sonarr            sonarr-tls-certificate          True    sonarr-tls-certificate          76d
woodpecker        woodpecker-tls-certificate      True    woodpecker-tls-certificate      76d
zot               zot-tls-certificate             True    zot-tls-certificate             76d
