NAMESPACE         NAME                                         STATE   AGE
argocd            argocd-server-tls-2-1806234669               valid   18d
backlog-canary    backlog-companion-canary-tls-2-2782044485    valid   44h
backlog           backlog-companion-tls-1-3209965606           valid   31d
budget-canary     budget-canary-tls-2-3397355507               valid   7d19h
budget            budget-tls-1-1709067268                      valid   7d20h
dex               dex-tls-certificate-2-1338884972             valid   18d
emby              emby-tls-certificate-2-2214504741            valid   18d
explorers-hub     explorers-hub-tls-certificate-1-4181884619   valid   18d
gitea             gitea-tls-certificate-1-1056306335           valid   51d
grafana           grafana-general-tls-2-3286529767             valid   18d
humbleai-canary   humbleai-tls-1-3085603603                    valid   35d
humbleai          humbleai-tls-1-448166436                     valid   37d
kanidm            kanidm-tls-certificate-2-3684994957          valid   18d
localai           localai-eaglepass-io-tls-2-1636471448        valid   4d1h
matrix            element-tls-certificate-1-3889193269         valid   11d
matrix            matrix-tls-certificate-1-1977391468          valid   11d
n8n               n8n-tls-certificate-2-1102790071             valid   6d2h
ollama            ollama-tls-1-1173234589                      valid   40d
openwebui         open-tls-certificate-2-2903582807            valid   25d
radarr            radarr-tls-certificate-2-727431449           valid   18d
sabnzbd           sabnzbd-tls-certificate-2-2727667487         valid   18d
searxng           searxng-tls-certificate-2-3577027753         valid   4d4h
sonarr            sonarr-tls-certificate-2-2020712202          valid   18d
woodpecker        woodpecker-tls-certificate-2-3162624335      valid   18d
zot               zot-tls-certificate-2-577498914              valid   18d
