NAMESPACE         NAME                            READY   SECRET                          AGE
ace-step          ace-step-tls                    True    ace-step-tls                    29d
argocd            argocd-server-tls               True    argocd-server-tls               88d
backlog-canary    backlog-companion-canary-tls    True    backlog-companion-canary-tls    61d
backlog           backlog-companion-tls           True    backlog-companion-tls           61d
budget-canary     budget-canary-tls               True    budget-canary-tls               67d
budget            budget-tls                      True    budget-tls                      67d
dex               dex-tls-certificate             True    dex-tls-certificate             88d
emby              emby-tls-certificate            True    emby-tls-certificate            88d
explorers-hub     explorers-hub-tls-certificate   True    explorers-hub-tls-certificate   78d
gitea             gitea-tls-certificate           True    gitea-tls-certificate           88d
grafana           grafana-general-tls             True    grafana-general-tls             88d
humbleai-canary   humbleai-tls                    True    humbleai-tls                    88d
humbleai          humbleai-tls                    True    humbleai-tls                    88d
kanidm            kanidm-selfsigned               True    kanidm-selfsigned-certificate   88d
kanidm            kanidm-tls-certificate          True    kanidm-tls-certificate          88d
localai           localai-eaglepass-io-tls        True    localai-eaglepass-io-tls        88d
matrix            element-tls-certificate         True    element-tls-certificate         11d
matrix            matrix-tls-certificate          True    matrix-tls-certificate          11d
n8n               n8n-tls-certificate             True    n8n-tls-certificate             66d
nextcloud         nextcloud-tls-certificate       True    nextcloud-tls-certificate       10d
ollama            ollama-tls                      True    ollama-tls                      40d
openwebui         open-tls-certificate            True    open-tls-certificate            88d
radarr            radarr-tls-certificate          True    radarr-tls-certificate          88d
sabnzbd           sabnzbd-tls-certificate         True    sabnzbd-tls-certificate         88d
searxng           searxng-tls-certificate         True    searxng-tls-certificate         88d
sonarr            sonarr-tls-certificate          True    sonarr-tls-certificate          88d
woodpecker        woodpecker-tls-certificate      True    woodpecker-tls-certificate      88d
zot               zot-tls-certificate             True    zot-tls-certificate             88d
