NAMESPACE         NAME                   CLASS   HOSTS                                        ADDRESS       PORTS     AGE
ace-step          ace-step               nginx   ace-step.eaglepass.io                        10.0.20.226   80, 443   29d
argocd            argocd-server          nginx   argocd.eaglepass.io                          10.0.20.226   80, 443   88d
backlog-canary    backlog-canary         nginx   backlog-canary.eaglepass.io                  10.0.20.226   80, 443   61d
backlog           backlog                nginx   backlog.eaglepass.io                         10.0.20.226   80, 443   61d
budget-canary     budget-canary          nginx   budget-canary.eaglepass.io                   10.0.20.226   80, 443   67d
budget            budget                 nginx   budget.eaglepass.io                          10.0.20.226   80, 443   67d
dex               dex                    nginx   dex.eaglepass.io                             10.0.20.226   80, 443   88d
emby              emby                   nginx   emby.eaglepass.io,emby-health.eaglepass.io   10.0.20.226   80, 443   88d
explorers-hub     explorers-hub          nginx   explorers.eaglepass.io                       10.0.20.226   80, 443   78d
gitea             gitea                  nginx   git.eaglepass.io                             10.0.20.226   80, 443   88d
grafana           grafana                nginx   grafana.eaglepass.io                         10.0.20.226   80, 443   88d
humbleai-canary   humbleai-canary        nginx   humbleai-canary.eaglepass.io                 10.0.20.226   80, 443   88d
humbleai          humbleai               nginx   humbleai.eaglepass.io                        10.0.20.226   80, 443   88d
kanidm            kanidm                 nginx   auth.eaglepass.io                            10.0.20.226   80, 443   88d
localai           localai-local-ai       nginx   localai.eaglepass.io                         10.0.20.226   80, 443   88d
matrix            matrix-dendrite        nginx   matrix.eaglepass.io                          10.0.20.226   80, 443   11d
matrix            matrix-elementweb      nginx   chat.eaglepass.io                            10.0.20.226   80, 443   11d
n8n               n8n                    nginx   n8n.eaglepass.io                             10.0.20.226   80, 443   66d
nextcloud         nextcloud              nginx   next.eaglepass.io                            10.0.20.226   80, 443   10d
nextcloud         nextcloud-whiteboard   nginx   next.eaglepass.io                            10.0.20.226   80        10d
ollama            ollama                 nginx   ollama.eaglepass.io                          10.0.20.226   80, 443   40d
openwebui         openwebui              nginx   open.eaglepass.io                            10.0.20.226   80, 443   88d
radarr            radarr                 nginx   radarr.eaglepass.io                          10.0.20.226   80, 443   88d
sabnzbd           sabnzbd                nginx   sabnzbd.eaglepass.io                         10.0.20.226   80, 443   88d
searxng           searxng                nginx   searxng.eaglepass.io                         10.0.20.226   80, 443   88d
sonarr            sonarr                 nginx   sonarr.eaglepass.io                          10.0.20.226   80, 443   88d
woodpecker        woodpecker-server      nginx   ci.eaglepass.io                              10.0.20.226   80, 443   88d
zot               zot                    nginx   registry.eaglepass.io                        10.0.20.226   80, 443   88d
