NAME                                                     READY   STATUS    RESTARTS       AGE   IP           NODE         NOMINATED NODE   READINESS GATES
alertmanager-monitoring-system-kube-pro-alertmanager-0   3/3     Running   0              38h   10.0.8.242   pikachu      <none>           <none>
monitoring-system-kube-pro-operator-6755f5b754-6g6h7     1/1     Running   0              38h   10.0.1.87    growlithe    <none>           <none>
monitoring-system-kube-state-metrics-99859855-s4rg6      1/1     Running   0              38h   10.0.6.236   squirtle     <none>           <none>
monitoring-system-prometheus-node-exporter-7fmwl         1/1     Running   11 (38h ago)   22d   10.0.20.13   bulbasaur    <none>           <none>
monitoring-system-prometheus-node-exporter-7q477         1/1     Running   12 (38h ago)   22d   10.0.20.18   growlithe    <none>           <none>
monitoring-system-prometheus-node-exporter-8n9x9         1/1     Running   11 (38h ago)   22d   10.0.20.15   chikorita    <none>           <none>
monitoring-system-prometheus-node-exporter-b9dnr         1/1     Running   11 (38h ago)   22d   10.0.20.14   pikachu      <none>           <none>
monitoring-system-prometheus-node-exporter-clclz         1/1     Running   12 (37h ago)   22d   10.0.20.20   sprigatito   <none>           <none>
monitoring-system-prometheus-node-exporter-g7wdm         1/1     Running   11 (38h ago)   22d   10.0.20.19   arcanine     <none>           <none>
monitoring-system-prometheus-node-exporter-v7k7s         1/1     Running   10 (38h ago)   22d   10.0.20.12   squirtle     <none>           <none>
monitoring-system-prometheus-node-exporter-wccnn         1/1     Running   3 (38h ago)    8d    10.0.20.11   charmander   <none>           <none>
monitoring-system-prometheus-node-exporter-xwglh         1/1     Running   11 (37h ago)   22d   10.0.20.17   totodile     <none>           <none>
monitoring-system-prometheus-node-exporter-zbshj         1/1     Running   11 (38h ago)   22d   10.0.20.16   cyndaquil    <none>           <none>
prometheus-monitoring-system-kube-pro-prometheus-0       2/2     Running   0              38h   10.0.8.87    pikachu      <none>           <none>
