NAMESPACE           NAME                                                              READY   STATUS      RESTARTS        AGE
ace-step            ace-step-959bbd477-mr2nc                                          1/1     Running     0               38h
argocd              argocd-application-controller-0                                   1/1     Running     0               38h
argocd              argocd-applicationset-controller-7784f8fb9-czzsx                  1/1     Running     0               38h
argocd              argocd-dex-server-b4d796b55-2b6hv                                 1/1     Running     0               38h
argocd              argocd-notifications-controller-c8466f958-sdsvn                   1/1     Running     0               38h
argocd              argocd-redis-d7fc75d76-k84c8                                      1/1     Running     0               38h
argocd              argocd-repo-server-7686bcbdb8-wn7xl                               1/1     Running     0               38h
argocd              argocd-server-798c6fc58f-blfkd                                    1/1     Running     0               38h
backlog             backlog-844f77c6f6-dfwk6                                          3/3     Running     0               38h
backlog-canary      backlog-canary-5f97974969-j2fsq                                   3/3     Running     0               38h
budget              budget-76cf7cb8b6-gwr82                                           2/2     Running     0               38h
budget-canary       budget-canary-75bcc4cf4-xr9fd                                     2/2     Running     0               38h
cert-manager        cert-manager-5765c467b4-fvrtk                                     1/1     Running     1 (38h ago)     38h
cert-manager        cert-manager-cainjector-79797479d8-7fqzj                          1/1     Running     0               38h
cert-manager        cert-manager-webhook-6dbd67d8d7-xqrkj                             1/1     Running     0               38h
cloudflared         cloudflared-dd448d59b-66g6s                                       1/1     Running     0               38h
code                weaviate-0                                                        1/1     Running     0               38h
connect             onepassword-connect-5fcbd4c68b-qnf72                              2/2     Running     0               38h
connect             onepassword-connect-operator-5dd699c7c-qrwtp                      1/1     Running     0               38h
default             external-secrets-764b89d78f-lz54l                                 1/1     Running     0               38h
default             external-secrets-webhook-bcf58f89b-bnktg                          1/1     Running     0               38h
default             rook-ceph-operator-84f6b7f9fb-829xk                               1/1     Running     0               38h
dex                 dex-756c687ddc-fc6xp                                              1/1     Running     0               38h
doplarr             doplarr-8647b5dcf9-597tm                                          1/1     Running     0               38h
emby                emby-74d94f8dd7-zlcjq                                             1/1     Running     0               37h
explorers-hub       explorers-hub-65d9f459bb-gsfbz                                    1/1     Running     0               38h
explorers-hub       explorers-hub-6c76f6d4d6-g9v9f                                    1/1     Running     0               38h
external-dns        external-dns-6f48c4f67b-tmsm7                                     1/1     Running     0               38h
external-secrets    external-secrets-85dccb745d-mnmcl                                 1/1     Running     0               38h
external-secrets    external-secrets-cert-controller-6d9964dd6b-2fp2b                 1/1     Running     0               38h
external-secrets    external-secrets-webhook-5bff9d77fb-f8vpg                         1/1     Running     0               38h
gitea               gitea-95955d874-546t2                                             1/1     Running     0               38h
gitea               gitea-postgresql-0                                                1/1     Running     0               38h
gitea               gitea-valkey-cluster-0                                            1/1     Running     0               38h
gitea               gitea-valkey-cluster-1                                            1/1     Running     0               38h
gitea               gitea-valkey-cluster-2                                            1/1     Running     0               38h
gitea               gitea-valkey-cluster-3                                            1/1     Running     0               38h
gitea               gitea-valkey-cluster-4                                            1/1     Running     2 (37h ago)     38h
gitea               gitea-valkey-cluster-5                                            1/1     Running     0               38h
gpu-operator        gpu-feature-discovery-j8hzv                                       1/1     Running     17              22d
gpu-operator        gpu-feature-discovery-l6sds                                       1/1     Running     14 (37h ago)    22d
gpu-operator        gpu-operator-999cc8dcc-9rc82                                      1/1     Running     7 (35h ago)     38h
gpu-operator        gpu-operator-node-feature-discovery-gc-7cc7ccfff8-f765f           1/1     Running     0               38h
gpu-operator        gpu-operator-node-feature-discovery-master-d8597d549-2586j        1/1     Running     0               38h
