NAME                SYNC STATUS   HEALTH STATUS   REVISION                                   PROJECT
argocd              Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
backlog             Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
backlog-canary      Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
budget              Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
budget-canary       Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
cert-manager        Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
cloudflared         Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
connect             Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
dex                 Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
doplarr             Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
emby                Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
explorers-hub       Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
external-dns        Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
external-secrets    Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
gitea               Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
global-secrets      Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
gpu-operator        Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
grafana             Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
humbleai            Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
humbleai-canary     Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
humbleai-demo       Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
ingress-nginx       Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
kanidm              Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
kured               Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
loki                Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
matrix              Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
monitoring-system   Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
n8n                 Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
nextcloud           Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
ollama              Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
openwebui           Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
paperclip           Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
postgres            Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
qdrant              Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
radarr              Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
renovate            Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
rook-ceph           Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
sabnzbd             Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
searxng             Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
sonarr              Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
strata              Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
volsync-system      Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
woodpecker          Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
zot                 Synced        Healthy         6a66e8e34a3cfac5cd2222e807decb6fb2b158f1   default
