NAMESPACE         NAME                            READY   SECRET                          AGE
argocd            argocd-server-tls               True    argocd-server-tls               105d
backlog-canary    backlog-companion-canary-tls    True    backlog-companion-canary-tls    78d
backlog           backlog-companion-tls           True    backlog-companion-tls           78d
budget-canary     budget-canary-tls               True    budget-canary-tls               84d
budget            budget-tls                      True    budget-tls                      84d
dex               dex-tls-certificate             True    dex-tls-certificate             105d
emby              emby-tls-certificate            True    emby-tls-certificate            105d
explorers-hub     explorers-hub-tls-certificate   True    explorers-hub-tls-certificate   95d
gitea             gitea-tls-certificate           True    gitea-tls-certificate           105d
grafana           grafana-general-tls             True    grafana-general-tls             105d
humbleai-canary   humbleai-tls                    True    humbleai-tls                    105d
humbleai-demo     humbleai-tls                    True    humbleai-tls                    8d
humbleai          humbleai-tls                    True    humbleai-tls                    105d
kanidm            kanidm-selfsigned               True    kanidm-selfsigned-certificate   105d
kanidm            kanidm-tls-certificate          True    kanidm-tls-certificate          105d
localai           localai-eaglepass-io-tls        True    localai-eaglepass-io-tls        105d
matrix            element-tls-certificate         True    element-tls-certificate         28d
matrix            matrix-tls-certificate          True    matrix-tls-certificate          28d
n8n               n8n-tls-certificate             True    n8n-tls-certificate             3d18h
nextcloud         nextcloud-tls-certificate       True    nextcloud-tls-certificate       27d
ollama            ollama-tls                      True    ollama-tls                      5d3h
openwebui         open-tls-certificate            True    open-tls-certificate            105d
paperclip         paperclip-tls-certificate       True    paperclip-tls-certificate       19h
radarr            radarr-tls-certificate          True    radarr-tls-certificate          105d
sabnzbd           sabnzbd-tls-certificate         True    sabnzbd-tls-certificate         105d
searxng           searxng-tls-certificate         True    searxng-tls-certificate         105d
sonarr            sonarr-tls-certificate          True    sonarr-tls-certificate          105d
strata            strata-tls                      True    strata-tls                      3d18h
woodpecker        woodpecker-tls-certificate      True    woodpecker-tls-certificate      105d
zot               zot-tls-certificate             True    zot-tls-certificate             105d
