NAMESPACE           NAME                                                              READY   STATUS      RESTARTS        AGE
argocd              argocd-application-controller-0                                   1/1     Running     0               37h
argocd              argocd-applicationset-controller-7b9967d7-8prj9                   1/1     Running     0               36h
argocd              argocd-dex-server-b4d796b55-pqf5p                                 1/1     Running     0               36h
argocd              argocd-notifications-controller-867fb8d8c6-wnlxs                  1/1     Running     0               36h
argocd              argocd-redis-74784b875c-4bwzn                                     1/1     Running     0               37h
argocd              argocd-repo-server-86d49d4b66-8n7fw                               1/1     Running     0               36h
argocd              argocd-server-59cd86c5f-mk5fh                                     1/1     Running     0               36h
backlog             backlog-844f77c6f6-fbzdn                                          3/3     Running     0               37h
backlog-canary      backlog-canary-5f97974969-2v8jm                                   3/3     Running     0               36h
budget              budget-76cf7cb8b6-jr7bj                                           2/2     Running     0               36h
budget-canary       budget-canary-75bcc4cf4-pxr55                                     2/2     Running     0               36h
cert-manager        cert-manager-854b8894c4-5sdmf                                     1/1     Running     0               37h
cert-manager        cert-manager-cainjector-5ff4f588f5-c8bsx                          1/1     Running     0               36h
cert-manager        cert-manager-webhook-7c97749f44-8jv5q                             1/1     Running     0               37h
cloudflared         cloudflared-dd448d59b-m2hmc                                       1/1     Running     0               37h
code                weaviate-0                                                        1/1     Running     0               37h
connect             onepassword-connect-5fcbd4c68b-w66gt                              2/2     Running     0               37h
connect             onepassword-connect-operator-5dd699c7c-mfwxx                      1/1     Running     0               36h
default             external-secrets-764b89d78f-v8cj7                                 1/1     Running     0               37h
default             external-secrets-webhook-bcf58f89b-lwq5f                          1/1     Running     0               36h
default             rook-ceph-operator-84f6b7f9fb-bhv9t                               1/1     Running     0               37h
dex                 dex-756c687ddc-bhlvm                                              1/1     Running     0               36h
doplarr             doplarr-8647b5dcf9-sj8f4                                          1/1     Running     0               36h
emby                emby-654d467bfc-9r6gw                                             1/1     Running     0               37h
explorers-hub       explorers-hub-65d9f459bb-d4zk7                                    1/1     Running     0               36h
explorers-hub       explorers-hub-6c76f6d4d6-h4z4x                                    1/1     Running     0               36h
external-dns        external-dns-6f48c4f67b-bttdg                                     1/1     Running     0               37h
external-secrets    external-secrets-85dccb745d-5jtv8                                 1/1     Running     0               37h
external-secrets    external-secrets-cert-controller-6d9964dd6b-fnv8g                 1/1     Running     0               36h
external-secrets    external-secrets-webhook-5bff9d77fb-rsx8x                         1/1     Running     0               36h
gitea               gitea-95955d874-926wm                                             1/1     Running     0               36h
gitea               gitea-postgresql-0                                                1/1     Running     0               37h
gitea               gitea-valkey-cluster-0                                            1/1     Running     0               36h
gitea               gitea-valkey-cluster-1                                            1/1     Running     0               36h
gitea               gitea-valkey-cluster-2                                            1/1     Running     0               37h
gitea               gitea-valkey-cluster-3                                            1/1     Running     0               36h
gitea               gitea-valkey-cluster-4                                            1/1     Running     0               37h
gitea               gitea-valkey-cluster-5                                            1/1     Running     0               37h
gpu-operator        gpu-feature-discovery-j8hzv                                       1/1     Running     32 (36h ago)    39d
gpu-operator        gpu-feature-discovery-l6sds                                       1/1     Running     23 (37h ago)    39d
gpu-operator        gpu-operator-999cc8dcc-rb8h2                                      1/1     Running     0               36h
gpu-operator        gpu-operator-node-feature-discovery-gc-7cc7ccfff8-7dgdh           1/1     Running     0               36h
gpu-operator        gpu-operator-node-feature-discovery-master-d8597d549-g76wk        1/1     Running     0               36h
gpu-operator        gpu-operator-node-feature-discovery-worker-482gv                  1/1     Running     14 (37h ago)    15d
gpu-operator        gpu-operator-node-feature-discovery-worker-4vfxp                  1/1     Running     42 (37h ago)    68d
gpu-operator        gpu-operator-node-feature-discovery-worker-g8fqb                  1/1     Running     72 (37h ago)    79d
gpu-operator        gpu-operator-node-feature-discovery-worker-kzbhr                  1/1     Running     60 (37h ago)    78d
gpu-operator        gpu-operator-node-feature-discovery-worker-lkkh7                  1/1     Running     3 (36h ago)     5d3h
gpu-operator        gpu-operator-node-feature-discovery-worker-mwl4l                  1/1     Running     17 (37h ago)    25d
gpu-operator        gpu-operator-node-feature-discovery-worker-rj9td                  1/1     Running     56 (36h ago)    79d
gpu-operator        gpu-operator-node-feature-discovery-worker-vhv8z                  1/1     Running     59 (36h ago)    79d
gpu-operator        gpu-operator-node-feature-discovery-worker-wcnrz                  1/1     Running     56 (36h ago)    79d
gpu-operator        gpu-operator-node-feature-discovery-worker-xls78                  1/1     Running     62 (37h ago)    79d
gpu-operator        nvidia-container-toolkit-daemonset-22xrp                          1/1     Running     18 (37h ago)    39d
gpu-operator        nvidia-container-toolkit-daemonset-8p2t8                          1/1     Running     18 (36h ago)    39d
gpu-operator        nvidia-cuda-validator-vbd6f                                       0/1     Completed   1               37h
gpu-operator        nvidia-cuda-validator-wt7x6                                       0/1     Completed   0               36h
gpu-operator        nvidia-dcgm-exporter-2skz9                                        1/1     Running     22 (37h ago)    39d
gpu-operator        nvidia-dcgm-exporter-dhsbk                                        1/1     Running     31 (36h ago)    39d
gpu-operator        nvidia-device-plugin-daemonset-crwwt                              1/1     Running     32              39d
gpu-operator        nvidia-device-plugin-daemonset-cx4ss                              1/1     Running     33              39d
gpu-operator        nvidia-operator-validator-d7zgg                                   1/1     Running     18 (37h ago)    39d
gpu-operator        nvidia-operator-validator-dvncb                                   1/1     Running     18 (36h ago)    39d
grafana             grafana-66467f4cc8-94ndl                                          3/3     Running     0               125m
humbleai            humbleai-585c4bf9bd-lqq86                                         1/1     Running     0               37h
humbleai-canary     humbleai-canary-57877ffb9b-8hpx7                                  1/1     Running     0               37h
humbleai-demo       humbleai-demo-764f78c45f-fcdxp                                    1/1     Running     0               37h
ingress-nginx       ingress-nginx-controller-58fc675dc8-n4l65                         1/1     Running     0               36h
kanidm              kanidm-0                                                          1/1     Running     0               36h
kube-system         cilium-97b27                                                      1/1     Running     29 (36h ago)    84d
kube-system         cilium-bktjp                                                      1/1     Running     26 (37h ago)    84d
kube-system         cilium-c44ng                                                      1/1     Running     43 (37h ago)    84d
kube-system         cilium-h7cmt                                                      1/1     Running     32 (36h ago)    84d
kube-system         cilium-j64nq                                                      1/1     Running     33 (37h ago)    84d
kube-system         cilium-nwzq6                                                      1/1     Running     33 (37h ago)    78d
kube-system         cilium-operator-6999764665-4c5st                                  1/1     Running     0               36h
kube-system         cilium-r8snc                                                      1/1     Running     31 (36h ago)    84d
kube-system         cilium-rgw2v                                                      1/1     Running     33 (37h ago)    84d
kube-system         cilium-v5gp5                                                      1/1     Running     26 (37h ago)    55d
kube-system         cilium-xwhxf                                                      1/1     Running     31 (36h ago)    84d
kube-system         coredns-6d8646cdb8-jqkrq                                          1/1     Running     0               37h
kube-system         hubble-relay-69f5fc5b79-vx5wp                                     1/1     Running     0               36h
kube-system         hubble-ui-6548d56557-5rcgb                                        2/2     Running     0               36h
kube-system         kube-vip-bulbasaur                                                1/1     Running     123 (36h ago)   99d
kube-system         kube-vip-charmander                                               1/1     Running     145 (37h ago)   99d
