NAMESPACE        LAST SEEN   TYPE      REASON               OBJECT                                 MESSAGE
podwave-canary   38m         Normal    Scheduled            pod/podwave-canary-d4c64445f-xn5vj     Successfully assigned podwave-canary/podwave-canary-d4c64445f-xn5vj to squirtle
grafana          39m         Normal    Scheduled            pod/grafana-577799c989-j7nsb           Successfully assigned grafana/grafana-577799c989-j7nsb to squirtle
grafana          36m         Normal    Scheduled            pod/grafana-69f8c77689-b797j           Successfully assigned grafana/grafana-69f8c77689-b797j to squirtle
grafana          43m         Normal    Scheduled            pod/grafana-78fcb8c6ff-zcd6k           Successfully assigned grafana/grafana-78fcb8c6ff-zcd6k to squirtle
podwave-canary   46m         Normal    Scheduled            pod/podwave-canary-5df59c6b69-w4tsj    Successfully assigned podwave-canary/podwave-canary-5df59c6b69-w4tsj to squirtle
podwave-canary   42m         Normal    Scheduled            pod/podwave-canary-64c97c57f6-kkd72    Successfully assigned podwave-canary/podwave-canary-64c97c57f6-kkd72 to squirtle
podwave          37m         Normal    Scheduled            pod/podwave-56d57446f6-rxgbb           Successfully assigned podwave/podwave-56d57446f6-rxgbb to squirtle
podwave-canary   48m         Warning   Unhealthy            pod/podwave-canary-6dd9599cc8-z9vkl    Liveness probe failed: Get "http://10.0.6.197:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
argocd           47m         Normal    OperationStarted     application/podwave-canary             admin initiated sync to master (0f6c819d27b3bfc8b5531c97c223826727a006bc)
podwave-canary   47m         Normal    ScalingReplicaSet    deployment/podwave-canary              Scaled down replica set podwave-canary-6dd9599cc8 from 1 to 0
podwave-canary   47m         Normal    SuccessfulDelete     replicaset/podwave-canary-6dd9599cc8   Deleted pod: podwave-canary-6dd9599cc8-z9vkl
podwave-canary   47m         Normal    Killing              pod/podwave-canary-6dd9599cc8-z9vkl    Stopping container main
argocd           47m         Normal    OperationCompleted   application/podwave-canary             Sync operation to 0f6c819d27b3bfc8b5531c97c223826727a006bc succeeded
argocd           47m         Normal    ResourceUpdated      application/podwave-canary             Updated sync status: Synced -> OutOfSync
argocd           47m         Normal    ResourceUpdated      application/podwave-canary             Updated health status: Healthy -> Progressing
argocd           47m         Normal    ResourceUpdated      application/podwave-canary             Updated sync status: OutOfSync -> Synced
podwave-canary   46m         Warning   Unhealthy            pod/podwave-canary-6dd9599cc8-z9vkl    Readiness probe failed: Get "http://10.0.6.197:3000/api/health": dial tcp 10.0.6.197:3000: connect: connection refused
podwave-canary   46m         Normal    ScalingReplicaSet    deployment/podwave-canary              Scaled up replica set podwave-canary-5df59c6b69 from 0 to 1
podwave-canary   46m         Normal    SuccessfulCreate     replicaset/podwave-canary-5df59c6b69   Created pod: podwave-canary-5df59c6b69-w4tsj
podwave-canary   46m         Normal    Pulling              pod/podwave-canary-5df59c6b69-w4tsj    Pulling image "10.0.20.11:32309/podwave:2026-04-03-v67"
podwave-canary   46m         Normal    Created              pod/podwave-canary-5df59c6b69-w4tsj    Created container: main
podwave-canary   46m         Normal    Started              pod/podwave-canary-5df59c6b69-w4tsj    Started container main
