NAME                                                              READY   STATUS    RESTARTS        AGE    IP           NODE         NOMINATED NODE   READINESS GATES
cilium-97b27                                                      1/1     Running   34 (11h ago)    94d    10.0.20.19   arcanine     <none>           <none>
cilium-bktjp                                                      1/1     Running   31 (11h ago)    94d    10.0.20.20   sprigatito   <none>           <none>
cilium-c44ng                                                      1/1     Running   48 (10h ago)    94d    10.0.20.14   pikachu      <none>           <none>
cilium-h7cmt                                                      1/1     Running   37 (10h ago)    94d    10.0.20.17   totodile     <none>           <none>
cilium-j64nq                                                      1/1     Running   38 (10h ago)    94d    10.0.20.12   squirtle     <none>           <none>
cilium-nwzq6                                                      1/1     Running   38 (11h ago)    88d    10.0.20.16   cyndaquil    <none>           <none>
cilium-operator-6999764665-jcb6w                                  1/1     Running   0               11h    10.0.20.19   arcanine     <none>           <none>
cilium-r8snc                                                      1/1     Running   36 (10h ago)    94d    10.0.20.13   bulbasaur    <none>           <none>
cilium-rgw2v                                                      1/1     Running   38 (10h ago)    94d    10.0.20.11   charmander   <none>           <none>
cilium-v5gp5                                                      1/1     Running   31 (11h ago)    65d    10.0.20.18   growlithe    <none>           <none>
cilium-xwhxf                                                      1/1     Running   36 (11h ago)    94d    10.0.20.15   chikorita    <none>           <none>
coredns-6d8646cdb8-bm6cl                                          1/1     Running   0               11h    10.0.0.203   chikorita    <none>           <none>
hubble-relay-69f5fc5b79-z5tj4                                     1/1     Running   0               10h    10.0.1.208   growlithe    <none>           <none>
hubble-ui-6548d56557-268ch                                        2/2     Running   0               11h    10.0.0.143   chikorita    <none>           <none>
kube-vip-bulbasaur                                                1/1     Running   133 (10h ago)   108d   10.0.20.13   bulbasaur    <none>           <none>
kube-vip-charmander                                               1/1     Running   160 (91m ago)   108d   10.0.20.11   charmander   <none>           <none>
kube-vip-squirtle                                                 1/1     Running   128 (10h ago)   108d   10.0.20.12   squirtle     <none>           <none>
metrics-server-564cb4ff68-h6vjb                                   1/1     Running   0               11h    10.0.0.128   chikorita    <none>           <none>
nfs-client-provisioner-nfs-subdir-external-provisioner-8544dhgn   1/1     Running   0               10h    10.0.7.66    bulbasaur    <none>           <none>
