NAME                                                        READY   STATUS      RESTARTS      AGE     IP           NODE         NOMINATED NODE   READINESS GATES
ceph-csi-controller-manager-59b6bb679-nmhwd                 1/1     Running     0             10h     10.0.2.115   totodile     <none>           <none>
rook-ceph-conversion-webhook-59888b8875-7sgfs               1/1     Running     0             10h     10.0.8.64    pikachu      <none>           <none>
rook-ceph-crashcollector-arcanine-5d9d65b756-gmrrl          1/1     Running     0             11h     10.0.4.61    arcanine     <none>           <none>
rook-ceph-crashcollector-bulbasaur-59cd9fcffd-bxq9x         1/1     Running     0             10h     10.0.7.161   bulbasaur    <none>           <none>
rook-ceph-crashcollector-charmander-55579ddc5b-2zbhd        1/1     Running     0             10h     10.0.5.2     charmander   <none>           <none>
rook-ceph-crashcollector-chikorita-659f47b6f7-6jnrz         1/1     Running     0             11h     10.0.0.49    chikorita    <none>           <none>
rook-ceph-crashcollector-cyndaquil-5dbddfb65c-58tmb         1/1     Running     0             11h     10.0.3.137   cyndaquil    <none>           <none>
rook-ceph-crashcollector-growlithe-8fccd9bd4-tzlwc          1/1     Running     0             10h     10.0.1.186   growlithe    <none>           <none>
rook-ceph-crashcollector-sprigatito-846c5596b7-gfg6s        1/1     Running     0             11h     10.0.9.56    sprigatito   <none>           <none>
rook-ceph-exporter-arcanine-6b9f6b9b44-rpzwc                1/1     Running     0             11h     10.0.4.227   arcanine     <none>           <none>
rook-ceph-exporter-bulbasaur-5cbd84d6f8-q8cm9               1/1     Running     0             10h     10.0.7.29    bulbasaur    <none>           <none>
rook-ceph-exporter-charmander-988f68f9b-7r825               1/1     Running     0             10h     10.0.5.254   charmander   <none>           <none>
rook-ceph-exporter-chikorita-6b4d4f8b89-2drsw               1/1     Running     0             11h     10.0.0.246   chikorita    <none>           <none>
rook-ceph-exporter-cyndaquil-84f67cd97c-m5ngd               1/1     Running     0             11h     10.0.3.19    cyndaquil    <none>           <none>
rook-ceph-exporter-growlithe-66bc4dc8c6-hkb22               1/1     Running     0             10h     10.0.1.35    growlithe    <none>           <none>
rook-ceph-exporter-sprigatito-59bd8fc979-qgc8q              1/1     Running     0             11h     10.0.9.101   sprigatito   <none>           <none>
rook-ceph-mds-standard-rwx-a-6bd6586df-pvhs6                1/1     Running     0             10h     10.0.1.143   growlithe    <none>           <none>
