NAME                  SYNC STATUS   HEALTH STATUS   REVISION                                   PROJECT
argocd                Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
backlog               Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
backlog-canary        Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
budget                Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
budget-canary         Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
cert-manager          Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
cloudflared           Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
connect               Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
dex                   Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
doplarr               Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
emby                  Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
explorers-hub         Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
external-dns          Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
external-secrets      Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
gitea                 Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
global-secrets        Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
gpu-operator          Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
grafana               Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
humbleai              Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
humbleai-canary       Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
humbleai-demo         Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
ingress-nginx         Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
kanidm                Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
kured                 Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
localai               Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
loki                  Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
matrix                Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
monitoring-system     Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
nibble                Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
nibble-canary         Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
openwebui             Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
pages                 Synced        Progressing     cb8278119afbd14a7c980c80decd3714515006a0   default
pages-canary          Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
podwave               Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
postgres              Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
qdrant                Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
radarr                Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
renovate              Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
rook-ceph             Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
sabnzbd               Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
searxng               Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
second-brain          Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
second-brain-canary   Synced        Progressing     cb8278119afbd14a7c980c80decd3714515006a0   default
sonarr                Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
strata                Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
volsync-system        Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
woodpecker            Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
zot                   Synced        Healthy         cb8278119afbd14a7c980c80decd3714515006a0   default
