=== Nodes ===
NAME         STATUS   ROLES                       AGE    VERSION        INTERNAL-IP   EXTERNAL-IP   OS-IMAGE                        KERNEL-VERSION           CONTAINER-RUNTIME
arcanine     Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.19    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
bulbasaur    Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.13    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
charmander   Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.11    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
chikorita    Ready    <none>                      338d   v1.33.6+k3s1   10.0.20.15    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
cyndaquil    Ready    <none>                      109d   v1.33.6+k3s1   10.0.20.16    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
growlithe    Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.18    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
pikachu      Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.14    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
sprigatito   Ready    <none>                      246d   v1.33.6+k3s1   10.0.20.20    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
squirtle     Ready    control-plane,etcd,master   426d   v1.33.6+k3s1   10.0.20.12    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33
totodile     Ready    <none>                      426d   v1.33.6+k3s1   10.0.20.17    <none>        Fedora Linux 39 (Thirty Nine)   6.11.9-100.fc39.x86_64   containerd://2.1.5-k3s1.33

=== Top Nodes ===
NAME         CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
arcanine     486m         6%       6933Mi          10%         
bulbasaur    582m         14%      3655Mi          23%         
charmander   1004m        25%      4945Mi          20%         
chikorita    528m         13%      4881Mi          15%         
cyndaquil    289m         7%       4534Mi          28%         
growlithe    563m         14%      7675Mi          23%         
pikachu      453m         11%      3708Mi          23%         
sprigatito   308m         7%       4133Mi          12%         
squirtle     1078m        26%      4715Mi          29%         
totodile     266m         6%       2482Mi          15%         

=== All Pods ===
NAMESPACE           NAME                                                              READY   STATUS                 RESTARTS          AGE
argocd              argocd-application-controller-0                                   1/1     Running                1 (6h4m ago)      8h
argocd              argocd-applicationset-controller-69595fc4f5-8pxfp                 1/1     Running                1 (6h5m ago)      8h
argocd              argocd-dex-server-b4d796b55-f7xms                                 1/1     Running                1 (6h4m ago)      11h
argocd              argocd-notifications-controller-697b64b7f7-kxtxw                  1/1     Running                1 (6h5m ago)      8h
argocd              argocd-redis-69d96b696-dbkqz                                      1/1     Running                1 (6h4m ago)      8h
argocd              argocd-repo-server-548675fdbd-sf4qs                               1/1     Running                1 (6h5m ago)      8h
argocd              argocd-server-6b4c8f59c4-v8sht                                    1/1     Running                1 (6h4m ago)      8h
backlog             backlog-867456dc55-c8gsq                                          3/3     Running                0                 145m
budget              budget-76cf7cb8b6-5lpt8                                           2/2     Running                2 (6h4m ago)      8h
cert-manager        cert-manager-675d68ff8d-2lnqf                                     1/1     Running                1 (6h5m ago)      8h
cert-manager        cert-manager-cainjector-64f7ddb858-vddpg                          1/1     Running                1 (6h4m ago)      8h
cert-manager        cert-manager-webhook-867db696d5-bj67p                             1/1     Running                1 (6h4m ago)      8h
cloudflared         cloudflared-6d656ffc7f-25rbq                                      1/1     Running                2 (6h4m ago)      8h
code                weaviate-0                                                        1/1     Running                2 (5h7m ago)      11h
connect             onepassword-connect-6dd8c7457-58pj2                               2/2     Running                3 (6h4m ago)      11h
connect             onepassword-connect-operator-5dd699c7c-f2gqw                      1/1     Running                1 (6h4m ago)      10h
default             external-secrets-764b89d78f-rcmbd                                 1/1     Running                2 (6h4m ago)      2d11h
default             external-secrets-webhook-bcf58f89b-2hz85                          1/1     Running                1 (6h4m ago)      11h
default             nfs-recovery-debug                                                0/1     Completed              0                 3h44m
default             node-debugger-arcanine-7kchl                                      0/1     Completed              0                 4h20m
default             node-debugger-arcanine-fgqkz                                      0/1     Unknown                0                 3h55m
default             node-debugger-bulbasaur-9q92w                                     0/1     Completed              0                 4h20m
default             node-debugger-bulbasaur-gvlfm                                     0/1     Completed              0                 3h50m
default             node-debugger-charmander-2x2nd                                    0/1     Completed              0                 3h45m
default             node-debugger-charmander-c9jrc                                    0/1     Error                  0                 3h39m
default             node-debugger-charmander-d9nkw                                    0/1     Error                  0                 4h18m
default             node-debugger-charmander-jhzml                                    0/1     Completed              0                 3h49m
default             node-debugger-charmander-z87df                                    0/1     Completed              0                 4h20m
default             node-debugger-chikorita-6f9rr                                     0/1     Unknown                0                 3h54m
default             node-debugger-chikorita-f5h97                                     0/1     Completed              0                 4h20m
default             node-debugger-cyndaquil-cwb66                                     0/1     Unknown                0                 3h54m
default             node-debugger-cyndaquil-dxxzn                                     0/1     Error                  0                 4h20m
default             node-debugger-growlithe-dkw97                                     0/1     Completed              0                 4h20m
default             node-debugger-growlithe-lqrrx                                     0/1     Unknown                0                 3h53m
default             node-debugger-pikachu-5knhm                                       0/1     Unknown                0                 3h57m
default             node-debugger-pikachu-fw9wj                                       0/1     Completed              0                 4h20m
